,City,NickName,Province,Sex,Signature
0,NaN,Vincent,NaN,1,"Starry, starry night"
1,唐山,井艺林,河北,2,爱自己，爱生活
2,运城,外婆瓜果园,山西,0,祝愿儿女事业成功，婚姻美满双丰收
3,NaN,Roidan,NaN,2,体己话。
4,唐山,蕾蕾妙妙屋,河北,2,NaN
5,秦皇岛,木有鱼丸。,河北,2,NaN
6,海淀,keysxie,北京,1,NaN
7,昌平,Daystar,北京,1,生命不止，奋斗不息！
8,运城,外婆的瓜果园,山西,2,顾客虐我千百遍‘我待顾客如初恋
9,秦皇岛,维度,河北,2,on the road.....
10,太原,米洛,山西,1,NaN
11,运城,江山如画,山西,1,NaN
12,太原,Your Grace,山西,1,忆笙歌酒绿红
13,济南,strawberryqi,山东,2,NaN
14,赣州,待续…,江西,1,平淡的过完这一生吧
15,西安,iDo,陕西,1,O(∩_∩)O
16,运城,随心所欲,山西,2,随心就好……
17,大兴,半熟的眼角,北京,1,细节决定成败，性格决定命运
18,邯郸,王嘉龙,河北,1,"Sans teeth, sans eyes, sans taste, sans everything."
19,静海,Km,天津,1,NaN
20,信阳,落叶飞花,河南,1,红楼一梦多少事，长河千里泪泗流。
21,徐汇,别开枪自己人,上海,1,NaN
22,长春,刘禹廷,吉林,1,so ，fuck the world
23,NaN,王宏升,北京,1,王宏升
24,珠海,A辛中宝,广东,1,多读书，少扯淡
25,哈尔滨,Risinidewensang,黑龙江,1,salute
26,NaN,Damon,NaN,1,都是因为你
27,NaN,胡博渊妈妈,NaN,0,胡博渊
28,Darwin,👼 Lantonya👼,Northern Territory,2,NaN
29,太原,敏敏很美,山西,1,NaN
30,太原,巴拉格,山西,1,行至水穷处，坐看云起时
31,深圳,阿里巴巴-习浩,广东,1,：
32,运城,一直都在 从未离开过,山西,1,人活着，没必要凡事都争个明白。水至清则无鱼，人至清则无朋。
33,NaN,人生不如游戏,NaN,1,向前跑，带着赤子的骄傲。
34,太原,dong*^_^*healer,山西,1,NaN
35,青岛,孤影啸寒风,山东,1,师者，父母。淡泊以明志，宁静以致远。
36,Bossier City,金圣叹,Louisiana,1,不能忘记，不能忘乎所以，不能就这样沉下去。
37,海淀,苏坡曼。,北京,1,              愿有岁月可回首，且以深情共白头…      
38,运城,👉辰👈,山西,1,NaN
39,NaN,我是疯儿,NaN,1,雷霆雨露，均是天恩
40,太原,终了,山西,1,时间如同万恶的盗贼，沉舟侧畔，病树前头，我变成了一条狗
41,NaN,劲爆,北京,1,NaN
42,运城,美芳,山西,2,心静勿躁，心细认真
43,怀柔,Young.x,北京,1,NaN
44,成都,🍬Waldeinsamkeit,四川,2,Diligence redeems stupidity 
45,沧州,海阔天空002,河北,2,NaN
46,昆明,洵美且异,云南,1,NaN
47,深圳,William,广东,1,NaN
48,海淀,柚子,北京,2,只要你足够努力，没有什么是搞不砸的
49,长治,当你,山西,1,NaN
50,海淀,高大爽。🌸,北京,2,想把我唱给你听。
51,海淀,徐徐然,北京,2,所有时刻都很仓皇而又模糊，除非你停下来，远远地回顾
52,新乡,跬,河南,1,跑着跑着，明白了坚持的可贵。
53,NaN,little sea sea,NaN,1,个性签名
54,运城,行者,山西,1,一生的辛苦，马上就要得到回报
55,石景山,mine09443,北京,1,偶尔玩玩飞信
56,海淀,北京自如Z.O-北四环亚运村北邢晓东,北京,1,NaN
57,青岛,Hulk,山东,1,不疯魔，不成才
58,NaN,OnniArto,NaN,1,"#postcrossing#  Weibo: @我的环球之旅
标签: 旅游 PC 美剧 科研"
59,石景山,跃华,北京,1,NaN
60,NaN,聂肖云🌴,NaN,2,话到七分，酒至微醺；笔墨疏宕，言辞婉约；古朴残破，含蓄蕴籍。
61,杭州,依海听涛,浙江,1,NaN
62,泰州,Xiaokai Chu,江苏,1,NaN
63,广州,张文婷,广东,2,你只要踮起脚伸出手来，天上的星星就能碰到
64,海淀,T.Stripe,北京,1,因为啊，对我，这世界一直如此
65,运城,屈梦华,山西,2,并不是所有黑暗的地方都需要光明
66,西安,樊小虎,陕西,1,我像是你一个可有可无的影子……
67,厦门,金刚葫芦娃,福建,1,头像是我，不是刘翔
68,奉贤,Cyborg,上海,1,"
 <span class=""emoji emoji2601""></span>️
 <span class=""emoji emoji26c5""></span>️
 🌤
 <span class=""emoji emoji2600""></span>️
 <span class=""emoji emoji2728""></span>
 <span class=""emoji emoji1f31f""></span>
 <span class=""emoji emoji2b50""></span>️
 <span class=""emoji emoji1f4ab""></span>"
69,NaN,大鱼,NaN,1,"A hard, no pain, no gain."
70,哈尔滨,小鸣同学要加油,黑龙江,1,NaN
71,NaN,千语澈,NaN,0,NaN
72,朝阳,Mona,北京,2,不疯魔，不成活。
73,海淀,杜肖冰,北京,2,那些打不死你的，始终使你更强大。
74,NaN,田景宇,NaN,1,Everything you touch surely dies.
